run_id,policy,chain_seed,budget_id,generation,human_nll,tail_retention,generations_completed,consumed_human_tokens,consumed_total_tokens,valid,exclusion_reason
fixture-joint-seed-1,joint,1,fixture-budget-100,0,3.15,0.84,10,100,10000,True,
fixture-joint-seed-1,joint,1,fixture-budget-100,1,3.15,0.88,10,100,10000,True,
fixture-joint-seed-1,joint,1,fixture-budget-100,2,3.18,0.78,10,100,10000,True,
fixture-joint-seed-1,joint,1,fixture-budget-100,3,3.18,0.8200000000000001,10,100,10000,True,
fixture-joint-seed-1,joint,1,fixture-budget-100,4,3.21,0.72,10,100,10000,True,
fixture-joint-seed-1,joint,1,fixture-budget-100,5,3.21,0.76,10,100,10000,True,
fixture-joint-seed-1,joint,1,fixture-budget-100,6,3.21,0.8,10,100,10000,True,
fixture-joint-seed-1,joint,1,fixture-budget-100,7,3.2399999999999998,0.7000000000000001,10,100,10000,True,
fixture-joint-seed-1,joint,1,fixture-budget-100,8,3.2399999999999998,0.7400000000000001,10,100,10000,True,
fixture-joint-seed-1,joint,1,fixture-budget-100,9,3.2399999999999998,0.7800000000000001,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,0,3.15,0.84,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,1,3.15,0.88,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,2,3.18,0.78,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,3,3.18,0.8200000000000001,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,4,3.21,0.72,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,5,3.21,0.76,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,6,3.21,0.8,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,7,3.2399999999999998,0.7000000000000001,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,8,3.2399999999999998,0.7400000000000001,10,100,10000,True,
fixture-joint-seed-2,joint,2,fixture-budget-100,9,3.2399999999999998,0.7800000000000001,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,0,3.15,0.84,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,1,3.15,0.88,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,2,3.18,0.78,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,3,3.18,0.8200000000000001,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,4,3.21,0.72,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,5,3.21,0.76,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,6,3.21,0.8,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,7,3.2399999999999998,0.7000000000000001,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,8,3.2399999999999998,0.7400000000000001,10,100,10000,True,
fixture-joint-seed-3,joint,3,fixture-budget-100,9,3.2399999999999998,0.7800000000000001,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,0,3.15,0.84,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,1,3.15,0.88,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,2,3.18,0.78,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,3,3.18,0.8200000000000001,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,4,3.21,0.72,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,5,3.21,0.76,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,6,3.21,0.8,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,7,3.2399999999999998,0.7000000000000001,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,8,3.2399999999999998,0.7400000000000001,10,100,10000,True,
fixture-joint-seed-4,joint,4,fixture-budget-100,9,3.2399999999999998,0.7800000000000001,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,0,3.15,0.84,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,1,3.15,0.88,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,2,3.18,0.78,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,3,3.18,0.8200000000000001,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,4,3.21,0.72,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,5,3.21,0.76,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,6,3.21,0.8,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,7,3.2399999999999998,0.7000000000000001,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,8,3.2399999999999998,0.7400000000000001,10,100,10000,True,
fixture-joint-seed-5,joint,5,fixture-budget-100,9,3.2399999999999998,0.7800000000000001,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,0,3.18,0.7,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,1,3.18,0.74,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,2,3.21,0.64,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,3,3.24,0.54,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,4,3.28,0.44000000000000006,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,5,3.33,0.3400000000000001,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,6,3.38,0.2400000000000001,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,7,3.38,0.28000000000000014,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,8,3.41,0.18000000000000016,10,100,10000,True,
fixture-random-seed-1,random,1,fixture-budget-100,9,3.41,0.2200000000000002,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,0,3.18,0.7,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,1,3.18,0.74,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,2,3.18,0.78,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,3,3.18,0.8200000000000001,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,4,3.18,0.8600000000000001,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,5,3.21,0.7600000000000001,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,6,3.2399999999999998,0.6600000000000001,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,7,3.24,0.7000000000000001,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,8,3.2399999999999998,0.7400000000000001,10,100,10000,True,
fixture-random-seed-2,random,2,fixture-budget-100,9,3.27,0.6400000000000001,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,0,3.15,0.84,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,1,3.18,0.74,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,2,3.18,0.78,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,3,3.21,0.68,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,4,3.2399999999999998,0.5800000000000001,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,5,3.2399999999999998,0.6200000000000001,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,6,3.2399999999999998,0.6600000000000001,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,7,3.27,0.5600000000000002,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,8,3.3,0.4600000000000002,10,100,10000,True,
fixture-random-seed-3,random,3,fixture-budget-100,9,3.33,0.3600000000000002,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,0,3.18,0.7,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,1,3.21,0.6,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,2,3.25,0.5,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,3,3.25,0.54,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,4,3.28,0.44000000000000006,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,5,3.28,0.4800000000000001,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,6,3.28,0.5200000000000001,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,7,3.28,0.5600000000000002,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,8,3.28,0.6000000000000002,10,100,10000,True,
fixture-random-seed-4,random,4,fixture-budget-100,9,3.31,0.5000000000000002,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,0,3.15,0.84,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,1,3.18,0.74,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,2,3.21,0.64,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,3,3.21,0.68,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,4,3.2399999999999998,0.5800000000000001,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,5,3.2399999999999998,0.6200000000000001,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,6,3.2399999999999998,0.6600000000000001,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,7,3.2399999999999998,0.7000000000000002,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,8,3.2399999999999998,0.7400000000000002,10,100,10000,True,
fixture-random-seed-5,random,5,fixture-budget-100,9,3.27,0.6400000000000002,10,100,10000,True,
fixture-schedule_only-seed-1,schedule_only,1,fixture-budget-100,0,3.18,0.7,10,100,10000,True,
fixture-schedule_only-seed-1,schedule_only,1,fixture-budget-100,1,3.18,0.74,10,100,10000,True,
fixture-schedule_only-seed-1,schedule_only,1,fixture-budget-100,2,3.21,0.64,10,100,10000,True,
fixture-schedule_only-seed-1,schedule_only,1,fixture-budget-100,3,3.24,0.54,10,100,10000,True,
